video_c96	KmRmSHe7DPg	【第2回新おいうリーグS級リーグ最終戦】「delta vs のらすけ」「live vs ちゃるめらー」「ともくん vs ゆうき」30先 #ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c97	qQPN_WH0rsE	【S級リーグ】ともくん vs delta 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c98	11yd57NnD3k	【S級リーグ】ちゃるめらー vs ゆうき 30先(解説：ALF)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c99	AUkdmRo3cA4	【S級リーグ】のらすけ vs live 30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c100	cwj247CtYtw	【S級リーグ】ともくん vs のらすけ 30先(解説：sym)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c101	04hTIbmuhl0	【S級リーグ】delta vs live 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c102	oFra5QBFxUU	【S級リーグ】ともくん vs live 30先(実況：もこう、解説：Tom)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c103	MA2Xq6smpbY	【S級リーグ】のらすけ vs ちゃるめらー 30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c104	-w9ziMGve40	【S級リーグ】delta vs ちゃるめらー 30先(解説：ALF)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c105	hJezrrCbkDg	【S級リーグ】のらすけ vs ゆうき 30先(解説：sym)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c106	ABm5FumO_vQ	【S級リーグ】live vs ゆうき 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
video_c107	DAGNxVGFsE4	【S級リーグ】ともくん vs ちゃるめらー 30先(解説：ヨダソウマ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ #おいうリーグ
