video_idx	playlist	playlist_idx	video_id	duration	title
29	plC	1	xX4qC3im26w	3305	【マスター・3ブロック】SAKI vs あん 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
30	plC	2	HtCsJm9uwyA	3157	【マスター・3ブロック】light vs あん 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
31	plC	3	YgYh8sXFHFE	3298	【マスター・1ブロック】まじぇす vs レイン 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
32	plC	4	fhlUO3xhvr4	3528	【マスター・2ブロック】いさな vs TS 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
33	plC	5	IohzpJf4qD0	3374	【マスター・4ブロック】hov vs むー 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
34	plC	6	Du64HhfN6iI	2632	【マスター・3ブロック】SAKI vs タイタン 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
35	plD	1	JvMRe830fQE	3667	【マスター進出決定トーナメント・Aブロック】ひまこ vs まじぇす  30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
36	plD	2	c2ZJSOOA2qk	3434	【マスター進出決定トーナメント・Cブロック】カキ様 vs とりいぬ 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
37	plD	3	bQ_BO0umm_0	3532	【マスター進出決定トーナメント・Bブロック】やまゆう vs 3  30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
38	plD	4	Pl804jhzOl8	3300	【マスター進出決定トーナメント・Aブロック】なしー vs ひまこ  30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
39	plD	5	RNUJjULeHJI	3147	【マスター進出決定トーナメント・Bブロック】Yoshi100_Aus vs やまゆう 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
40	plD	6	54ohUB70Koo	3267	【マスター進出決定トーナメント・Cブロック】なおこれ vs とりいぬ 30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
42	plB	8	c4uuX0N0KR8	3632	【A・B1級複合決勝トーナメント準々決勝】DIO vs PRR  30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
43	plB	9	ApH_cBMWpTU	2884	【A・B1級複合決勝トーナメント準々決勝】teva vs ばたし 30先(解説：ライカ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
48	plC	8	JvvJQcL7iR4	3226	【マスター・1ブロック】sym vs まじぇす 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
49	plC	9	GqBH999cQyU	3563	【マスター・3ブロック】タイタン vs ぷにちゃん 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
50	plC	10	enHxRrKeAAs	2972	【マスター・2ブロック】3 vs いさな 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
52	plC	12	3DhPCYMdlAE	2927	【マスター・2ブロック】:o vs いさな 30先(解説：こんけあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
57	plC	17	iR75tB73Pps	3510	【マスター・1ブロック】selva vs とりぱん 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
