範囲,手法,予測bin,n,平均予測,実勝率
全体,raw,0.6-0.7,4080,0.6367535877263032,0.6259803921568627
全体,raw,0.7-0.8,1209,0.7461695515878511,0.696443341604632
全体,raw,0.8-0.9,1006,0.8519581618813273,0.831013916500994
全体,raw,0.9-1.0,2120,0.965566706688247,0.9481132075471698
全体,現行Platt(approx),0.6-0.7,3165,0.6359518514193355,0.6388625592417062
全体,現行Platt(approx),0.7-0.8,1119,0.7468814666626132,0.7345844504021448
全体,現行Platt(approx),0.8-0.9,1005,0.8518881737078037,0.8995024875621891
全体,現行Platt(approx),0.9-1.0,1748,0.9600773531720053,0.9536613272311213
全体,Platt(位相別),0.6-0.7,4201,0.6359643677061719,0.6093787193525351
全体,Platt(位相別),0.7-0.8,1299,0.7467736200991291,0.6920708237105466
全体,Platt(位相別),0.8-0.9,1039,0.8519559841176145,0.8431183830606352
全体,Platt(位相別),0.9-1.0,2025,0.9635649081140126,0.9496296296296296
全体,Isotonic(位相別),0.6-0.7,3911,0.6410543748816404,0.6118639734083354
全体,Isotonic(位相別),0.7-0.8,866,0.7370290470619949,0.7090069284064665
全体,Isotonic(位相別),0.8-0.9,1083,0.8602716796025058,0.8901200369344414
全体,Isotonic(位相別),0.9-1.0,1784,0.9742281462792012,0.9473094170403588
序盤,raw,0.6-0.7,547,0.6356493148810238,0.603290676416819
序盤,raw,0.7-0.8,135,0.7411365685030838,0.6962962962962963
序盤,raw,0.8-0.9,73,0.845889581376885,0.9178082191780822
序盤,raw,0.9-1.0,26,0.9274229117754907,0.8846153846153846
序盤,現行Platt(approx),0.6-0.7,405,0.6356795106365373,0.6049382716049383
序盤,現行Platt(approx),0.7-0.8,106,0.7432744362093834,0.7452830188679245
序盤,現行Platt(approx),0.8-0.9,60,0.8441739252754368,0.9833333333333333
序盤,現行Platt(approx),0.9-1.0,9,0.9175060593961416,0.6666666666666666
序盤,Platt(位相別),0.6-0.7,734,0.6345794252994458,0.5858310626702997
序盤,Platt(位相別),0.7-0.8,179,0.7399545401801588,0.6145251396648045
序盤,Platt(位相別),0.8-0.9,88,0.8490892750327759,0.8181818181818182
序盤,Platt(位相別),0.9-1.0,50,0.9374439936673049,0.94
序盤,Isotonic(位相別),0.6-0.7,280,0.6267604772051981,0.5428571428571428
序盤,Isotonic(位相別),0.7-0.8,29,0.7662150205725923,0.6896551724137931
序盤,Isotonic(位相別),0.8-0.9,71,0.854225969767185,0.8028169014084507
序盤,Isotonic(位相別),0.9-1.0,58,0.9433388790637438,0.9482758620689655
中盤,raw,0.6-0.7,2037,0.6359656412925657,0.6288659793814433
中盤,raw,0.7-0.8,639,0.7476794903594515,0.6588419405320813
中盤,raw,0.8-0.9,691,0.8530112441681894,0.8133140376266281
中盤,raw,0.9-1.0,1675,0.9663913339480187,0.9456716417910448
中盤,現行Platt(approx),0.6-0.7,1559,0.6357783825627644,0.6298909557408595
中盤,現行Platt(approx),0.7-0.8,663,0.7502547799164919,0.722473604826546
中盤,現行Platt(approx),0.8-0.9,707,0.8530431963770491,0.8882602545968883
中盤,現行Platt(approx),0.9-1.0,1403,0.9601799552106078,0.9486813970064149
中盤,Platt(位相別),0.6-0.7,1884,0.634980474745641,0.6098726114649682
中盤,Platt(位相別),0.7-0.8,661,0.7495930255771069,0.6792738275340393
中盤,Platt(位相別),0.8-0.9,714,0.8531762096777584,0.84593837535014
中盤,Platt(位相別),0.9-1.0,1548,0.9645154820457945,0.9463824289405685
中盤,Isotonic(位相別),0.6-0.7,1481,0.6440453208020223,0.6225523295070898
中盤,Isotonic(位相別),0.7-0.8,414,0.7447283050154244,0.6811594202898551
中盤,Isotonic(位相別),0.8-0.9,885,0.862054742266799,0.8926553672316384
中盤,Isotonic(位相別),0.9-1.0,1266,0.9777970134898603,0.9454976303317536
終盤,raw,0.6-0.7,1496,0.6382302482422733,0.6303475935828877
終盤,raw,0.7-0.8,435,0.7455134638669109,0.7517241379310344
終盤,raw,0.8-0.9,242,0.850781825173073,0.8553719008264463
終盤,raw,0.9-1.0,419,0.9646370837947251,0.9618138424821002
終盤,現行Platt(approx),0.6-0.7,1201,0.6362688672098665,0.6619483763530392
終盤,現行Platt(approx),0.7-0.8,350,0.7415838624932439,0.7542857142857143
終盤,現行Platt(approx),0.8-0.9,238,0.8504018454674064,0.9117647058823529
終盤,現行Platt(approx),0.9-1.0,336,0.9607892311000505,0.9821428571428571
終盤,Platt(位相別),0.6-0.7,1583,0.6377775086184758,0.6197094125078964
終盤,Platt(位相別),0.7-0.8,459,0.7453727231155827,0.7407407407407407
終盤,Platt(位相別),0.8-0.9,237,0.8493442936092735,0.8438818565400844
終盤,Platt(位相別),0.9-1.0,427,0.9631774544276824,0.9625292740046838
終盤,Isotonic(位相別),0.6-0.7,2150,0.6408556309008584,0.6134883720930232
終盤,Isotonic(位相別),0.7-0.8,423,0.7274926734815526,0.7375886524822695
終盤,Isotonic(位相別),0.8-0.9,127,0.851226285432493,0.9212598425196851
終盤,Isotonic(位相別),0.9-1.0,460,0.9683007367352935,0.9521739130434783
