match_id	n_pairs
video_c10::0	36
video_c10::1	152
video_c10::10	51
video_c10::11	44
video_c10::12	174
video_c10::13	36
video_c10::14	79
video_c10::15	41
video_c10::2	52
video_c10::3	45
video_c10::4	83
video_c10::5	55
video_c10::6	67
video_c10::7	103
video_c10::8	56
video_c10::9	46
video_c11::0	53
video_c11::1	72
video_c11::10	71
video_c11::11	58
video_c11::12	76
video_c11::13	57
video_c11::14	79
video_c11::15	62
video_c11::16	63
video_c11::17	50
video_c11::18	79
video_c11::19	46
video_c11::2	16
video_c11::3	96
video_c11::4	49
video_c11::5	62
video_c11::6	40
video_c11::7	46
video_c11::8	77
video_c11::9	49
video_c12::0	27
video_c12::1	46
video_c12::10	40
video_c12::11	62
video_c12::12	45
video_c12::13	75
video_c12::14	16
video_c12::2	99
video_c12::3	54
video_c12::4	113
video_c12::5	154
video_c12::6	144
video_c12::7	228
video_c12::8	46
video_c12::9	42
video_c13::0	59
video_c13::1	54
video_c13::10	70
video_c13::11	61
video_c13::12	58
video_c13::13	40
video_c13::14	36
video_c13::15	55
video_c13::16	81
video_c13::17	82
video_c13::18	50
video_c13::19	57
video_c13::2	47
video_c13::3	65
video_c13::4	81
video_c13::5	60
video_c13::6	56
video_c13::7	77
video_c13::8	62
video_c13::9	61
video_c14::0	38
video_c14::1	40
video_c14::10	37
video_c14::11	66
video_c14::12	77
video_c14::13	74
video_c14::14	98
video_c14::15	83
video_c14::16	37
video_c14::2	69
video_c14::3	67
video_c14::4	53
video_c14::5	79
video_c14::6	62
video_c14::7	53
video_c14::8	37
video_c14::9	67
video_c15::0	44
video_c15::1	199
video_c15::2	153
video_c15::3	195
video_c15::4	94
video_c15::5	141
video_c15::6	84
video_c15::7	78
video_c15::8	217
video_c15::9	93
video_c16::0	64
video_c16::1	58
video_c16::10	20
video_c16::11	33
video_c16::12	66
video_c16::13	77
video_c16::14	64
video_c16::15	57
video_c16::16	50
video_c16::2	65
video_c16::3	58
video_c16::4	56
video_c16::5	69
video_c16::6	106
video_c16::7	54
video_c16::8	67
video_c16::9	51
video_c17::0	97
video_c17::1	90
video_c17::10	64
video_c17::11	76
video_c17::12	82
video_c17::13	57
video_c17::14	72
video_c17::15	96
video_c17::16	51
video_c17::2	51
video_c17::3	62
video_c17::4	59
video_c17::5	74
video_c17::6	69
video_c17::7	111
video_c17::8	65
video_c17::9	69
video_c18::0	79
video_c18::1	57
video_c18::10	65
video_c18::11	47
video_c18::12	80
video_c18::13	87
video_c18::14	61
video_c18::15	66
video_c18::16	92
video_c18::17	69
video_c18::18	1
video_c18::2	81
video_c18::3	81
video_c18::4	55
video_c18::5	74
video_c18::6	74
video_c18::7	45
video_c18::8	92
video_c18::9	90
video_c19::0	98
video_c19::1	25
video_c19::10	70
video_c19::11	84
video_c19::12	53
video_c19::13	40
video_c19::14	57
video_c19::15	64
video_c19::16	79
video_c19::17	102
video_c19::18	75
video_c19::2	22
video_c19::3	8
video_c19::4	65
video_c19::5	69
video_c19::6	59
video_c19::7	65
video_c19::8	36
video_c19::9	62
video_c20::0	50
video_c20::1	49
video_c20::10	55
video_c20::11	85
video_c20::12	57
video_c20::13	59
video_c20::14	56
video_c20::15	60
video_c20::16	54
video_c20::2	36
video_c20::3	74
video_c20::4	49
video_c20::5	73
video_c20::6	59
video_c20::7	68
video_c20::8	49
video_c20::9	42
video_c21::0	53
video_c21::1	61
video_c21::10	54
video_c21::11	65
video_c21::12	74
video_c21::13	13
video_c21::14	18
video_c21::15	43
video_c21::16	71
video_c21::17	71
video_c21::2	39
video_c21::3	66
video_c21::4	83
video_c21::5	55
video_c21::6	36
video_c21::7	39
video_c21::8	69
video_c21::9	47
video_c22::0	71
video_c22::1	55
video_c22::10	71
video_c22::11	73
video_c22::12	79
video_c22::13	68
video_c22::14	43
video_c22::15	67
video_c22::16	60
video_c22::17	20
video_c22::2	88
video_c22::3	84
video_c22::4	46
video_c22::5	42
video_c22::6	94
video_c22::7	65
video_c22::8	39
video_c22::9	87
video_c23::0	24
video_c23::1	8
video_c23::10	47
video_c23::11	82
video_c23::12	69
video_c23::13	67
video_c23::14	42
video_c23::15	45
video_c23::16	26
video_c23::17	50
video_c23::18	42
video_c23::2	146
video_c23::3	55
video_c23::4	65
video_c23::5	68
video_c23::6	53
video_c23::7	56
video_c23::8	56
video_c23::9	32
video_c24::0	193
video_c24::1	40
video_c24::10	27
video_c24::11	162
video_c24::12	64
video_c24::13	57
video_c24::2	36
video_c24::3	46
video_c24::4	189
video_c24::5	58
video_c24::6	123
video_c24::7	147
video_c24::8	9
video_c24::9	113
video_c25::0	95
video_c25::1	56
video_c25::10	74
video_c25::11	54
video_c25::12	80
video_c25::13	73
video_c25::14	45
video_c25::15	77
video_c25::16	40
video_c25::17	57
video_c25::18	51
video_c25::19	58
video_c25::2	49
video_c25::20	41
video_c25::21	50
video_c25::3	33
video_c25::4	30
video_c25::5	55
video_c25::6	81
video_c25::7	33
video_c25::8	71
video_c25::9	58
video_c26::0	64
video_c26::1	64
video_c26::10	137
video_c26::11	81
video_c26::12	56
video_c26::2	195
video_c26::3	119
video_c26::4	113
video_c26::5	81
video_c26::6	83
video_c26::7	44
video_c26::8	377
video_c26::9	201
video_c27::0	71
video_c27::1	69
video_c27::10	50
video_c27::11	28
video_c27::12	37
video_c27::2	57
video_c27::3	77
video_c27::4	39
video_c27::5	89
video_c27::6	72
video_c27::7	146
video_c27::8	58
video_c27::9	53
video_c28::0	72
video_c28::1	97
video_c28::10	76
video_c28::11	36
video_c28::12	90
video_c28::13	104
video_c28::14	61
video_c28::15	51
video_c28::16	108
video_c28::2	35
video_c28::3	115
video_c28::4	63
video_c28::5	56
video_c28::6	69
video_c28::7	61
video_c28::8	62
video_c28::9	90
video_c29::0	45
video_c29::1	29
video_c29::10	52
video_c29::11	45
