video_id	fold
video_c10	0
video_c15	0
video_c19	0
video_c22	0
video_c23	0
video_c26	0
video_c46	0
video_c49	0
video_c57	0
video_c61	0
video_c70	0
video_c78	0
video_c79	0
video_c81	0
video_c13	1
video_c14	1
video_c16	1
video_c18	1
video_c27	1
video_c29	1
video_c41	1
video_c44	1
video_c50	1
video_c52	1
video_c56	1
video_c64	1
video_c72	1
video_c21	2
video_c25	2
video_c40	2
video_c42	2
video_c43	2
video_c47	2
video_c48	2
video_c60	2
video_c63	2
video_c66	2
video_c74	2
video_c75	2
video_c80	2
video_c11	3
video_c12	3
video_c35	3
video_c45	3
video_c51	3
video_c53	3
video_c55	3
video_c59	3
video_c62	3
video_c65	3
video_c68	3
video_c69	3
video_c77	3
video_c17	4
video_c20	4
video_c24	4
video_c28	4
video_c34	4
video_c36	4
video_c37	4
video_c54	4
video_c58	4
video_c67	4
video_c71	4
video_c73	4
video_c76	4
