video_id	side	t_sec	game_idx	frame_idx	chain_count_off	chain_count_on	total_erased_off	total_erased_on	total_ojama_off	total_ojama_on
29	1P	320.30	2	9609	1	0	4	0	0	0
29	1P	320.77	2	9623	1	0	4	0	0	0
29	1P	323.53	2	9706	1	0	4	0	1	0
30	1P	1417.17	21	85030	1	0	4	0	3	0
30	2P	2282.00	39	136920	1	0	4	0	3	0
30	2P	2282.63	39	136958	1	0	4	0	3	0
31	2P	930.83	14	55850	1	1	5	4	0	0
31	2P	2959.97	48	177598	1	1	5	4	5	5
32	1P	867.30	6	52038	1	0	4	0	0	0
32	1P	872.07	6	52324	1	1	6	5	0	0
32	1P	872.10	6	52326	1	1	7	6	2	2
32	1P	1465.27	18	87916	1	0	4	0	0	0
32	1P	1467.13	18	88028	1	0	4	0	0	0
33	2P	525.53	6	31532	1	0	4	0	0	0
33	1P	2833.03	47	169982	1	1	5	4	0	0
34	1P	1205.57	18	72334	1	1	5	4	3	3
34	1P	1206.07	18	72364	1	1	5	4	5	5
34	2P	2360.27	37	141616	1	1	5	4	0	0
35	1P	693.83	11	41630	1	1	6	5	0	0
36	1P	709.90	9	21297	1	0	4	0	0	0
36	1P	2284.67	32	68540	1	0	4	0	1	0
36	2P	2426.07	35	72782	1	0	4	0	0	0
38	2P	1306.43	19	78386	1	1	5	4	0	0
38	2P	1478.73	22	88724	2	0	8	0	0	0
38	2P	1479.33	22	88760	1	12	8	61	0	0
39	2P	248.57	0	7457	1	1	5	4	0	0
39	1P	704.70	8	21141	1	0	4	0	1	0
39	2P	909.30	12	27279	1	0	4	0	0	0
40	1P	536.20	6	32172	1	0	4	0	1	0
40	1P	537.57	6	32254	1	0	4	0	1	0
40	1P	657.50	8	39450	1	0	4	0	0	0
40	1P	666.77	8	40006	1	1	8	7	1	1
40	2P	1891.23	29	113474	1	0	4	0	1	0
51	2P	785.33	14	47120	1	1	5	4	0	0
52	2P	948.87	12	56932	1	0	4	0	0	0
52	2P	949.50	12	56970	1	0	4	0	0	0
52	2P	949.87	12	56992	1	1	6	5	0	0
52	1P	956.20	12	57372	1	0	4	0	1	0
52	1P	1354.00	20	81240	1	0	4	0	0	0
52	1P	1355.33	20	81320	1	0	4	0	0	0
52	1P	1358.03	20	81482	1	0	4	0	0	0
52	1P	1358.37	20	81502	1	0	4	0	0	0
52	1P	1359.53	20	81572	2	7	18	39	2	2
c10	1P	1531.70	22	91902	1	0	4	0	0	0
c10	2P	1623.10	23	97386	1	0	4	0	0	0
c10	2P	1759.53	25	105572	1	0	4	0	0	0
c10	2P	1863.93	27	111836	1	0	4	0	0	0
c10	2P	1864.83	27	111890	1	0	4	0	0	0
c10	1P	2173.80	32	130428	1	0	4	0	0	0
c10	1P	2174.37	32	130462	1	0	4	0	0	0
c10	1P	2506.00	37	150360	1	0	4	0	0	0
c100	2P	314.37	0	18862	1	0	4	0	1	0
c100	1P	627.00	5	37620	1	0	4	0	0	0
c100	1P	627.27	5	37636	1	0	4	0	0	0
c100	1P	1486.93	19	89216	1	1	5	4	2	2
c100	2P	2570.90	36	154254	1	0	4	0	0	0
c100	2P	2571.47	36	154288	1	0	4	0	0	0
c100	2P	2572.00	36	154320	1	0	4	0	0	0
c100	2P	2572.43	36	154346	1	0	4	0	0	0
c100	2P	2573.10	36	154386	1	0	4	0	0	0
c100	2P	2573.73	36	154424	1	0	4	0	0	0
c100	2P	2574.37	36	154462	1	0	4	0	0	0
c100	2P	2575.60	36	154536	1	0	4	0	0	0
c100	2P	2576.47	36	154588	1	0	4	0	1	0
c101	2P	1164.87	17	69892	1	1	5	4	0	0
c101	2P	2451.37	39	147082	1	1	5	4	1	1
c101	1P	2671.13	43	160268	1	0	4	0	0	0
c101	1P	2672.63	43	160358	1	0	4	0	0	0
c102	1P	1815.57	21	108934	1	1	5	4	0	0
c103	1P	1478.40	22	88704	1	1	5	4	0	0
