video_name	video_id	duration_sec	title	tier	source_file	on_disk
video_01				UNCONFIRMED		1
video_02				UNCONFIRMED		1
video_03				UNCONFIRMED		1
video_04				UNCONFIRMED		1
video_05				UNCONFIRMED		1
video_06				UNCONFIRMED		1
video_07				UNCONFIRMED		1
video_08				UNCONFIRMED		1
video_09				UNCONFIRMED		1
video_10				UNCONFIRMED		1
video_100				UNCONFIRMED		1
video_101				UNCONFIRMED		1
video_102				UNCONFIRMED		1
video_103				UNCONFIRMED		1
video_104				UNCONFIRMED		1
video_105				UNCONFIRMED		1
video_106				UNCONFIRMED		1
video_107				UNCONFIRMED		1
video_108				UNCONFIRMED		1
video_109				UNCONFIRMED		1
video_11				UNCONFIRMED		1
video_110				UNCONFIRMED		1
video_111				UNCONFIRMED		1
video_112				UNCONFIRMED		1
video_113				UNCONFIRMED		1
video_114				UNCONFIRMED		1
video_115				UNCONFIRMED		1
video_116				UNCONFIRMED		1
video_117				UNCONFIRMED		1
video_118				UNCONFIRMED		1
video_119				UNCONFIRMED		1
video_12				UNCONFIRMED		1
video_120				UNCONFIRMED		1
video_121				UNCONFIRMED		1
video_122				UNCONFIRMED		1
video_123				UNCONFIRMED		1
video_13				UNCONFIRMED		1
video_14				UNCONFIRMED		1
video_15				UNCONFIRMED		1
video_16				UNCONFIRMED		1
video_17				UNCONFIRMED		1
video_18				UNCONFIRMED		1
video_19				UNCONFIRMED		1
video_20				UNCONFIRMED		1
video_21				UNCONFIRMED		1
video_22				UNCONFIRMED		1
video_23				UNCONFIRMED		1
video_24				UNCONFIRMED		1
video_25				UNCONFIRMED		1
video_26				UNCONFIRMED		1
video_27				UNCONFIRMED		1
video_28				UNCONFIRMED		1
video_29	xX4qC3im26w	3305	【マスター・3ブロック】SAKI vs あん 30先(解説：やまたけプロ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_30	HtCsJm9uwyA	3157	【マスター・3ブロック】light vs あん 30先(解説：クサノアニマル)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_31	YgYh8sXFHFE	3298	【マスター・1ブロック】まじぇす vs レイン 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
video_32	fhlUO3xhvr4	3528	【マスター・2ブロック】いさな vs TS 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ	マスター	data/phase_e_dl_index.tsv	1
