target_id	subset	fold	source_group_id	source_video_path	clip_start_sec	clip_end_sec	tier	prior_rows	selection_hash	title
35	reserve		JvMRe830fQE	data/frames/video_35.mp4			マスター	7684	fd6578a8ac3317cce73242737b472a14e2a75cad1420b3d5e16b570ce18ae617	【マスター進出決定トーナメント・Aブロック】ひまこ vs まじぇす  30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
37	reserve		bQ_BO0umm_0	data/frames/video_37.mp4			マスター	7829	8708db447a0dd73592eff96e0fd523cf189dce9a5919ce92af89a04be8a24128	【マスター進出決定トーナメント・Bブロック】やまゆう vs 3  30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
38	pilot	6	Pl804jhzOl8	data/frames/video_38.mp4			マスター	6763	716d7914ac527fc49632b388853180ec7783d4d6063ae21f4d342436b245a077	【マスター進出決定トーナメント・Aブロック】なしー vs ひまこ  30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
39	pilot	1	RNUJjULeHJI	data/frames/video_39.mp4			マスター	6137	17d4dd5a6e46787dfcbc7600faa628f6f3bd749743888b72d6b728bb11f2b4c7	【マスター進出決定トーナメント・Bブロック】Yoshi100_Aus vs やまゆう 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
40	pilot	6	54ohUB70Koo	data/frames/video_40.mp4			マスター	7203	4a61fcd9b704f09db78c7b2a20e5ffe082796f2bc8bc669489cc6ee93d07aaf8	【マスター進出決定トーナメント・Cブロック】なおこれ vs とりいぬ 30先(解説：fron)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
51	reserve		175kntUk2xA	data/frames/video_51.mp4			マスター	4286	d65d4632e562d8a2fd4919b5da5f4eaa9a0a3a7ae08cf9d6785dbaee311c3352	【マスター・3ブロック】light vs SAKI 30先(解説：こんけあ)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c109	reserve		OUkub5_6Zts	data/frames/video_c109.mp4			S級	22547	900bc4d048954d682511402e7a25df5fab57496c071f2a18113d359f380a1086	【S級リーグ】最終戦特別オフライン開催「やまだ vs のらすけ」「ともくん vs delta」30先【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c135	reserve		DWllSSML7YY	data/frames/video_c135.mp4			A級	7328	7db3bf48b3f02a2b0677d88788abab955db8adc1dac7d9937dcec661db63284f	【A級・9ブロック】なおこれ vs akinari  30先(解説：DIO)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c138	pilot	1	Z-VMWHmxeao	data/frames/video_c138.mp4			A級	6333	076da8f5ecec16ad57167578ca98fa9ffe6e20dbcab9831c42a10e45e777b5f9	【A級・6ブロック】スラさん vs にゃんきち 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c139	reserve		Dgla5UVL1DY	data/frames/video_c139.mp4			A級	8007	ce68f151499cbff7655d1fe0f91339b4b55f8269ee5997ad28e4747e1f90827b	【A級・4ブロック】RIC vs ねも 30先(解説：reoru)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c14	reserve		1fGg0yjkrlw	data/frames/video_c14.mp4			チャレンジャー	6671	a9c52cd89bb96dba13a5c9ff77efe9440099c358a08a9ec5d01b793cfea9e8f5	【チャレンジャー・Bブロック】SAKI vs ゆうき 30先(解説:momoken)【新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c140	pilot	5	Be0HyETJ47w	data/frames/video_c140.mp4			A級	7511	21e7fd867bcd3953c2b8c2fe3bc77891134f3a8f59c5777d1d99e282bff2d90d	【A級・8ブロック】light vs MATTYAN 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c141	reserve		R7vU1wQ4BxI	data/frames/video_c141.mp4			A級	6774	a0c20212bfdf7c6fe45fbf3c489caffd9663c666336b6fa88a5de95e6c758ae6	【A級・6ブロック】No_name vs るた 30先(解説：なしー)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c142	pilot	3	7J1VkyPLsi8	data/frames/video_c142.mp4			A級	5947	5ac80bb128fdd4151d034c78eb12d59ae5db8ef6b026be0a5767fb32e8a86c0c	【A級・9ブロック】えぬむら vs もんぬ 30先(解説：MASA)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
c143	reserve		Lz1nXzQh9pc	data/frames/video_c143.mp4			A級	6693	de35a73573fe7c842c5ad1d47dc3ac781555719b6295cec1031069a9876be18f	【A級・2ブロック】ferro vs ゆうりん 30先(解説：スラさん)【第2回新おいうリーグ】#ぷよぷよ #ぷよぷよeスポーツ
